Model,DPO4034
Firmware Version,2.68
,
Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2.00E-05
Horizontal Delay,-2.70E-06
Sample Interval,2.00E-08
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Vertical Position,0.04
,
,
,
Label,A
TIME,CH1
-1.03E-04,-0.112
-1.03E-04,-0.12
-1.03E-04,-0.116
-1.03E-04,-0.112
-1.03E-04,-0.116
-1.03E-04,-0.112
-1.03E-04,-0.124
-1.03E-04,-0.116
-1.03E-04,-0.12
-1.03E-04,-0.116
-1.03E-04,-0.108
-1.02E-04,-0.128
-1.02E-04,-0.108
-1.02E-04,-0.116
-1.02E-04,-0.116
-1.02E-04,-0.116
-1.02E-04,-0.116
-1.02E-04,-0.112
-1.02E-04,-0.12
-1.02E-04,-0.12
-1.02E-04,-0.12
-1.02E-04,-0.12
-1.02E-04,-0.116
-1.02E-04,-0.108
-1.02E-04,-0.112
-1.02E-04,-0.12
-1.02E-04,-0.124
-1.02E-04,-0.112
-1.02E-04,-0.112
-1.02E-04,-0.112
-1.02E-04,-0.12
-1.02E-04,-0.124
-1.02E-04,-0.116
-1.02E-04,-0.116
-1.02E-04,-0.12
-1.02E-04,-0.124
-1.02E-04,-0.12
-1.02E-04,-0.112
-1.02E-04,-0.124
-1.02E-04,-0.112
-1.02E-04,-0.12
-1.02E-04,-0.124
-1.02E-04,-0.116
-1.02E-04,-0.124
-1.02E-04,-0.12
-1.02E-04,-0.124
-1.02E-04,-0.124
-1.02E-04,-0.108
-1.02E-04,-0.12
-1.02E-04,-0.108
-1.02E-04,-0.112
-1.02E-04,-0.12
-1.02E-04,-0.112
-1.02E-04,-0.12
-1.02E-04,-0.116
-1.02E-04,-0.116
-1.02E-04,-0.124
-1.02E-04,-0.12
-1.02E-04,-0.116
-1.02E-04,-0.12
-1.02E-04,-0.112
-1.01E-04,-0.112
-1.01E-04,-0.12
-1.01E-04,-0.116
-1.01E-04,-0.12
-1.01E-04,-0.116
-1.01E-04,-0.112
-1.01E-04,-0.12
-1.01E-04,-0.112
-1.01E-04,-0.128
-1.01E-04,-0.12
-1.01E-04,-0.108
-1.01E-04,-0.12
-1.01E-04,-0.112
-1.01E-04,-0.108
-1.01E-04,-0.116
-1.01E-04,-0.132
-1.01E-04,-0.132
-1.01E-04,-0.108
-1.01E-04,-0.116
-1.01E-04,-0.12
-1.01E-04,-0.124
-1.01E-04,-0.128
-1.01E-04,-0.108
-1.01E-04,-0.116
-1.01E-04,-0.116
-1.01E-04,-0.108
-1.01E-04,-0.112
-1.01E-04,-0.12
-1.01E-04,-0.124
-1.01E-04,-0.116
-1.01E-04,-0.12
-1.01E-04,-0.112
-1.01E-04,-0.124
-1.01E-04,-0.116
-1.01E-04,-0.128
-1.01E-04,-0.116
-1.01E-04,-0.124
-1.01E-04,-0.108
-1.01E-04,-0.116
-1.01E-04,-0.116
-1.01E-04,-0.112
-1.01E-04,-0.116
-1.01E-04,-0.124
-1.01E-04,-0.124
-1.01E-04,-0.12
-1.01E-04,-0.116
-1.01E-04,-0.12
-1.01E-04,-0.12
-1.01E-04,-0.12
-1.01E-04,-0.112
-1.00E-04,-0.112
-1.00E-04,-0.112
-1.00E-04,-0.12
-1.00E-04,-0.116
-1.00E-04,-0.124
-1.00E-04,-0.12
-1.00E-04,-0.12
-1.00E-04,-0.12
-1.00E-04,-0.116
-1.00E-04,-0.116
-1.00E-04,-0.12
-1.00E-04,-0.108
-1.00E-04,-0.108
-1.00E-04,-0.108
-1.00E-04,-0.12
-1.00E-04,-0.116
-1.00E-04,-0.124
-1.00E-04,-0.12
-1.00E-04,-0.124
-1.00E-04,-0.112
-1.00E-04,-0.112
-1.00E-04,-0.12
-1.00E-04,-0.116
-1.00E-04,-0.12
-1.00E-04,-0.12
-1.00E-04,-0.12
-1.00E-04,-0.116
-9.99E-05,-0.116
-9.99E-05,-0.116
-9.99E-05,-0.116
-9.99E-05,-0.112
-9.99E-05,-0.116
-9.98E-05,-0.112
-9.98E-05,-0.116
-9.98E-05,-0.12
-9.98E-05,-0.116
-9.98E-05,-0.116
-9.97E-05,-0.116
-9.97E-05,-0.124
-9.97E-05,-0.124
-9.97E-05,-0.12
-9.97E-05,-0.116
-9.96E-05,-0.108
-9.96E-05,-0.12
-9.96E-05,-0.116
-9.96E-05,-0.112
-9.96E-05,-0.12
-9.95E-05,-0.12
-9.95E-05,-0.12
-9.95E-05,-0.124
-9.95E-05,-0.124
-9.95E-05,-0.12
-9.94E-05,-0.112
-9.94E-05,-0.116
-9.94E-05,-0.124
-9.94E-05,-0.124
-9.94E-05,-0.116
-9.93E-05,-0.108
-9.93E-05,-0.128
-9.93E-05,-0.116
-9.93E-05,-0.112
-9.93E-05,-0.116
-9.92E-05,-0.112
-9.92E-05,-0.108
-9.92E-05,-0.12
-9.92E-05,-0.112
-9.92E-05,-0.124
-9.91E-05,-0.116
-9.91E-05,-0.124
-9.91E-05,-0.12
-9.91E-05,-0.124
-9.91E-05,-0.112
-9.90E-05,-0.116
-9.90E-05,-0.116
-9.90E-05,-0.12
-9.90E-05,-0.112
-9.90E-05,-0.116
-9.89E-05,-0.124
-9.89E-05,-0.124
-9.89E-05,-0.116
-9.89E-05,-0.124
-9.89E-05,-0.116
-9.88E-05,-0.116
-9.88E-05,-0.116
-9.88E-05,-0.112
-9.88E-05,-0.116
-9.88E-05,-0.112
-9.87E-05,-0.12
-9.87E-05,-0.124
-9.87E-05,-0.116
-9.87E-05,-0.124
-9.87E-05,-0.108
-9.86E-05,-0.112
-9.86E-05,-0.116
-9.86E-05,-0.124
-9.86E-05,-0.124
-9.86E-05,-0.116
-9.85E-05,-0.12
-9.85E-05,-0.116
-9.85E-05,-0.112
-9.85E-05,-0.112
-9.85E-05,-0.112
-9.84E-05,-0.124
-9.84E-05,-0.116
-9.84E-05,-0.116
-9.84E-05,-0.128
-9.84E-05,-0.124
-9.83E-05,-0.112
-9.83E-05,-0.116
-9.83E-05,-0.108
-9.83E-05,-0.116
-9.83E-05,-0.116
-9.82E-05,-0.112
-9.82E-05,-0.108
-9.82E-05,-0.116
-9.82E-05,-0.112
-9.82E-05,-0.116
-9.81E-05,-0.108
-9.81E-05,-0.12
-9.81E-05,-0.12
-9.81E-05,-0.112
-9.81E-05,-0.12
-9.80E-05,-0.124
-9.80E-05,-0.108
-9.80E-05,-0.116
-9.80E-05,-0.12
-9.80E-05,-0.116
-9.79E-05,-0.108
-9.79E-05,-0.12
-9.79E-05,-0.112
-9.79E-05,-0.116
-9.79E-05,-0.116
-9.78E-05,-0.124
-9.78E-05,-0.12
-9.78E-05,-0.116
-9.78E-05,-0.12
-9.78E-05,-0.124
-9.77E-05,-0.112
-9.77E-05,-0.104
-9.77E-05,-0.132
-9.77E-05,-0.128
-9.77E-05,-0.128
-9.76E-05,-0.116
-9.76E-05,-0.116
-9.76E-05,-0.108
-9.76E-05,-0.108
-9.76E-05,-0.116
-9.75E-05,-0.116
-9.75E-05,-0.12
-9.75E-05,-0.12
-9.75E-05,-0.116
-9.75E-05,-0.112
-9.74E-05,-0.108
-9.74E-05,-0.12
-9.74E-05,-0.104
-9.74E-05,-0.12
-9.74E-05,-0.108
-9.73E-05,-0.116
-9.73E-05,-0.108
-9.73E-05,-0.116
-9.73E-05,-0.108
-9.73E-05,-0.116
-9.72E-05,-0.112
-9.72E-05,-0.124
-9.72E-05,-0.116
-9.72E-05,-0.12
-9.72E-05,-0.112
-9.71E-05,-0.112
-9.71E-05,-0.116
-9.71E-05,-0.108
-9.71E-05,-0.124
-9.71E-05,-0.12
-9.70E-05,-0.108
-9.70E-05,-0.116
-9.70E-05,-0.124
-9.70E-05,-0.12
-9.70E-05,-0.116
-9.69E-05,-0.112
-9.69E-05,-0.116
-9.69E-05,-0.12
-9.69E-05,-0.112
-9.69E-05,-0.12
-9.68E-05,-0.112
-9.68E-05,-0.12
-9.68E-05,-0.112
-9.68E-05,-0.124
-9.68E-05,-0.12
-9.67E-05,-0.112
-9.67E-05,-0.112
-9.67E-05,-0.12
-9.67E-05,-0.124
-9.67E-05,-0.108
-9.66E-05,-0.116
-9.66E-05,-0.112
-9.66E-05,-0.108
-9.66E-05,-0.112
-9.66E-05,-0.124
-9.65E-05,-0.112
-9.65E-05,-0.12
-9.65E-05,-0.124
-9.65E-05,-0.108
-9.65E-05,-0.116
-9.64E-05,-0.124
-9.64E-05,-0.12
-9.64E-05,-0.112
-9.64E-05,-0.12
-9.64E-05,-0.12
-9.63E-05,-0.112
-9.63E-05,-0.12
-9.63E-05,-0.12
-9.63E-05,-0.12
-9.63E-05,-0.12
-9.62E-05,-0.112
-9.62E-05,-0.12
-9.62E-05,-0.12
-9.62E-05,-0.112
-9.62E-05,-0.124
-9.61E-05,-0.116
-9.61E-05,-0.124
-9.61E-05,-0.116
-9.61E-05,-0.116
-9.61E-05,-0.12
-9.60E-05,-0.116
-9.60E-05,-0.12
-9.60E-05,-0.12
-9.60E-05,-0.12
-9.60E-05,-0.108
-9.59E-05,-0.116
-9.59E-05,-0.108
-9.59E-05,-0.124
-9.59E-05,-0.116
-9.59E-05,-0.124
-9.58E-05,-0.116
-9.58E-05,-0.104
-9.58E-05,-0.112
-9.58E-05,-0.128
-9.58E-05,-0.128
-9.57E-05,-0.112
-9.57E-05,-0.124
-9.57E-05,-0.124
-9.57E-05,-0.116
-9.57E-05,-0.108
-9.56E-05,-0.124
-9.56E-05,-0.12
-9.56E-05,-0.12
-9.56E-05,-0.116
-9.56E-05,0.244
-9.55E-05,0.26
-9.55E-05,0.244
-9.55E-05,0.24
-9.55E-05,0.24
-9.55E-05,0.236
-9.54E-05,0.236
-9.54E-05,0.244
-9.54E-05,0.236
-9.54E-05,0.236
-9.54E-05,0.232
-9.53E-05,0.24
-9.53E-05,0.24
-9.53E-05,0.232
-9.53E-05,0.24
-9.53E-05,0.232
-9.52E-05,0.232
-9.52E-05,0.24
-9.52E-05,0.232
-9.52E-05,0.236
-9.52E-05,0.248
-9.51E-05,0.236
-9.51E-05,0.232
-9.51E-05,0.24
-9.51E-05,0.232
-9.51E-05,0.24
-9.50E-05,0.228
-9.50E-05,0.24
-9.50E-05,0.232
-9.50E-05,0.24
-9.50E-05,0.228
-9.49E-05,0.22
-9.49E-05,0.236
-9.49E-05,0.244
-9.49E-05,0.236
-9.49E-05,0.224
-9.48E-05,0.232
-9.48E-05,0.232
-9.48E-05,0.232
-9.48E-05,0.236
-9.48E-05,0.236
-9.47E-05,0.232
-9.47E-05,0.232
-9.47E-05,0.24
-9.47E-05,0.232
-9.47E-05,0.236
-9.46E-05,0.232
-9.46E-05,0.232
-9.46E-05,0.232
-9.46E-05,0.24
-9.46E-05,0.232
-9.45E-05,0.224
-9.45E-05,0.232
-9.45E-05,0.228
-9.45E-05,0.236
-9.45E-05,0.236
-9.44E-05,0.236
-9.44E-05,0.228
-9.44E-05,0.236
-9.44E-05,0.232
-9.44E-05,0.224
-9.43E-05,0.228
-9.43E-05,0.236
-9.43E-05,0.232
-9.43E-05,0.232
-9.43E-05,0.228
-9.42E-05,0.236
-9.42E-05,0.232
-9.42E-05,0.236
-9.42E-05,0.228
-9.42E-05,0.236
-9.41E-05,0.236
-9.41E-05,0.232
-9.41E-05,0.236
-9.41E-05,0.236
-9.41E-05,0.232
-9.40E-05,0.228
-9.40E-05,0.232
-9.40E-05,0.236
-9.40E-05,0.232
-9.40E-05,0.232
-9.39E-05,0.24
-9.39E-05,0.224
-9.39E-05,0.236
-9.39E-05,0.24
-9.39E-05,0.232
-9.38E-05,0.224
-9.38E-05,0.24
-9.38E-05,0.24
-9.38E-05,0.232
-9.38E-05,0.232
-9.37E-05,0.236
-9.37E-05,0.232
-9.37E-05,0.236
