Model,DPO4034
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0002
Horizontal Delay,-1.508e-05
Sample Interval,2e-07
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0
,
,
,
Label,
TIME,CH2
-1.0151e-03,0
-1.0149e-03,0.0004
-1.0147e-03,0
-1.0145e-03,0.0004
-1.0143e-03,0.0008
-1.0141e-03,0
-1.0139e-03,0
-1.0137e-03,0.0004
-1.0135e-03,0.0004
-1.0133e-03,0.0004
-1.0131e-03,0.0004
-1.0129e-03,-0.0004
-1.0127e-03,0.0008
-1.0125e-03,0.0008
-1.0123e-03,0.0004
-1.0121e-03,0.0004
-1.0119e-03,0.0004
-1.0117e-03,0.0004
-1.0115e-03,0
-1.0113e-03,-0.0004
-1.0111e-03,0.0004
-1.0109e-03,0.0004
-1.0107e-03,0.0008
-1.0105e-03,-0.0004
-1.0103e-03,0.0008
-1.0101e-03,0
-1.0099e-03,0.0008
-1.0097e-03,0.0008
-1.0095e-03,0
-1.0093e-03,0.0008
-1.0091e-03,0
-1.0089e-03,0.0012
-1.0087e-03,0.0012
-1.0085e-03,0.0008
-1.0083e-03,0.0004
-1.0081e-03,0.0004
-1.0079e-03,0
-1.0077e-03,0
-1.0075e-03,0
-1.0073e-03,0.0004
-1.0071e-03,0.0004
-1.0069e-03,0.0008
-1.0067e-03,0.0004
-1.0065e-03,0.0004
-1.0063e-03,0.0004
-1.0061e-03,0.0004
-1.0059e-03,0.0004
-1.0057e-03,0
-1.0055e-03,0.0008
-1.0053e-03,0.0008
-1.0051e-03,0.0008
-1.0049e-03,0.0008
-1.0047e-03,0.0004
-1.0045e-03,0.0012
-1.0043e-03,0.0008
-1.0041e-03,0
-1.0039e-03,0.0008
-1.0037e-03,0
-1.0035e-03,0.0008
-1.0033e-03,-0.0004
-1.0031e-03,0.0004
-1.0029e-03,-0.0004
-1.0027e-03,-0.0004
-1.0025e-03,0.0004
-1.0023e-03,0.0004
-1.0021e-03,0
-1.0019e-03,0.0004
-1.0017e-03,-0.0004
-1.0015e-03,-0.0008
-1.0013e-03,-0.0004
-1.0011e-03,0.0008
-1.0009e-03,0.0004
-1.0007e-03,0.0008
-1.0005e-03,0.0008
-1.0003e-03,0.0004
-1.0001e-03,0
-9.9988e-04,0
-9.9968e-04,0.0012
-9.9948e-04,0.0008
-9.9928e-04,-0.0004
-9.9908e-04,0.0008
-9.9888e-04,0.0008
-9.9868e-04,0.0008
-9.9848e-04,0
-9.9828e-04,0.0008
-9.9808e-04,0.0012
-9.9788e-04,0
-9.9768e-04,0
-9.9748e-04,0
-9.9728e-04,0.0004
-9.9708e-04,-0.0004
-9.9688e-04,0.0008
-9.9668e-04,0.0004
-9.9648e-04,0.0008
-9.9628e-04,0.0008
-9.9608e-04,0.0008
-9.9588e-04,0.0004
-9.9568e-04,0.0004
-9.9548e-04,0.0008
-9.9528e-04,0.0004
-9.9508e-04,-0.0004
-9.9488e-04,0.0008
-9.9468e-04,0.0004
-9.9448e-04,0.0004
-9.9428e-04,0.0008
-9.9408e-04,0
-9.9388e-04,0
-9.9368e-04,0.0008
-9.9348e-04,0.0004
-9.9328e-04,0
-9.9308e-04,0.0008
-9.9288e-04,0
-9.9268e-04,0.0004
-9.9248e-04,0.0008
-9.9228e-04,0
-9.9208e-04,0.0008
-9.9188e-04,0.0008
-9.9168e-04,0
-9.9148e-04,0
-9.9128e-04,-0.0004
-9.9108e-04,0.0004
-9.9088e-04,0.0008
-9.9068e-04,0
-9.9048e-04,0
-9.9028e-04,0.0004
-9.9008e-04,-0.0004
-9.8988e-04,-0.0008
-9.8968e-04,0
-9.8948e-04,-0.0004
-9.8928e-04,0
-9.8908e-04,0.0008
-9.8888e-04,0
-9.8868e-04,-0.0004
-9.8848e-04,0.0008
-9.8828e-04,0.0008
-9.8808e-04,-0.0004
-9.8788e-04,0
-9.8768e-04,0.0008
-9.8748e-04,0.0008
-9.8728e-04,0.0004
-9.8708e-04,-0.0004
-9.8688e-04,0
-9.8668e-04,0.0004
-9.8648e-04,0.0008
-9.8628e-04,0.0004
-9.8608e-04,0.0008
-9.8588e-04,0.0008
-9.8568e-04,0
-9.8548e-04,0.0008
-9.8528e-04,0.0004
-9.8508e-04,0
-9.8488e-04,0.0004
-9.8468e-04,0.0004
-9.8448e-04,0
-9.8428e-04,0
-9.8408e-04,0
-9.8388e-04,0
-9.8368e-04,0
-9.8348e-04,0.0004
-9.8328e-04,0.0008
-9.8308e-04,0.0004
-9.8288e-04,-0.0004
-9.8268e-04,-0.0004
-9.8248e-04,0.0008
-9.8228e-04,0
-9.8208e-04,0
-9.8188e-04,0.0008
-9.8168e-04,-0.0004
-9.8148e-04,-0.0004
-9.8128e-04,0
-9.8108e-04,0.0004
-9.8088e-04,0
-9.8068e-04,0.0004
-9.8048e-04,0.0004
-9.8028e-04,0.0004
-9.8008e-04,0.0004
-9.7988e-04,0.0004
-9.7968e-04,0.0004
-9.7948e-04,0.0012
-9.7928e-04,0
-9.7908e-04,0.0012
-9.7888e-04,0.0004
-9.7868e-04,0.0004
-9.7848e-04,0.0008
-9.7828e-04,0.0012
-9.7808e-04,-0.0004
-9.7788e-04,0.0004
-9.7768e-04,0.0004
-9.7748e-04,-0.0004
-9.7728e-04,0.0008
-9.7708e-04,0
-9.7688e-04,0.0008
-9.7668e-04,0.0004
-9.7648e-04,-0.0004
-9.7628e-04,0.0004
-9.7608e-04,0
-9.7588e-04,-0.0004
-9.7568e-04,0
-9.7548e-04,0.0004
-9.7528e-04,0
-9.7508e-04,0
-9.7488e-04,0
-9.7468e-04,0.0004
-9.7448e-04,0.0004
-9.7428e-04,0
-9.7408e-04,0
-9.7388e-04,0.0004
-9.7368e-04,-0.0004
-9.7348e-04,0.0008
-9.7328e-04,0
-9.7308e-04,0.0004
-9.7288e-04,-0.0004
-9.7268e-04,0.0004
-9.7248e-04,-0.0004
-9.7228e-04,0.0004
-9.7208e-04,0.0008
-9.7188e-04,0
-9.7168e-04,0
-9.7148e-04,0.0004
-9.7128e-04,-0.0004
-9.7108e-04,0.0016
-9.7088e-04,0.0008
-9.7068e-04,0
-9.7048e-04,0
-9.7028e-04,0
-9.7008e-04,0.0004
-9.6988e-04,0.0004
-9.6968e-04,0
-9.6948e-04,0
-9.6928e-04,0
-9.6908e-04,0.0004
-9.6888e-04,-0.0004
-9.6868e-04,0
-9.6848e-04,0.0004
-9.6828e-04,0.0008
-9.6808e-04,0.0004
-9.6788e-04,0
-9.6768e-04,0.0004
-9.6748e-04,0.0008
-9.6728e-04,0.0004
-9.6708e-04,0.0008
-9.6688e-04,0.0008
-9.6668e-04,0
-9.6648e-04,0
-9.6628e-04,0.0004
-9.6608e-04,0
-9.6588e-04,0
-9.6568e-04,-0.0004
-9.6548e-04,0.0008
-9.6528e-04,0
-9.6508e-04,0.0008
-9.6488e-04,0.0004
-9.6468e-04,0.0008
-9.6448e-04,0.0008
-9.6428e-04,0.0008
-9.6408e-04,0.0012
-9.6388e-04,0.0004
-9.6368e-04,-0.0008
-9.6348e-04,0
-9.6328e-04,0
-9.6308e-04,0.0008
-9.6288e-04,0.0004
-9.6268e-04,0
-9.6248e-04,0.0004
-9.6228e-04,0.0008
-9.6208e-04,0.0004
-9.6188e-04,0
-9.6168e-04,0.0008
-9.6148e-04,0.0008
-9.6128e-04,0
-9.6108e-04,0.0008
-9.6088e-04,0.0008
-9.6068e-04,0
-9.6048e-04,0.0008
-9.6028e-04,0
-9.6008e-04,0
-9.5988e-04,0.0012
-9.5968e-04,0
-9.5948e-04,0
-9.5928e-04,0.0008
-9.5908e-04,0.0008
-9.5888e-04,0.0004
-9.5868e-04,0
-9.5848e-04,0.0012
-9.5828e-04,0.0008
-9.5808e-04,0.0016
-9.5788e-04,0.0008
-9.5768e-04,0.0008
-9.5748e-04,0
-9.5728e-04,0
-9.5708e-04,0
-9.5688e-04,0.0004
-9.5668e-04,-0.0004
-9.5648e-04,0.0004
-9.5628e-04,0.0004
-9.5608e-04,0.0012
-9.5588e-04,0
-9.5568e-04,0.0004
-9.5548e-04,0.0004
-9.5528e-04,0.0004
-9.5508e-04,0.0004
-9.5488e-04,0
-9.5468e-04,0
-9.5448e-04,0.0004
-9.5428e-04,0.0004
-9.5408e-04,0.0004
-9.5388e-04,0.0004
-9.5368e-04,0.0004
-9.5348e-04,0
-9.5328e-04,0.0004
-9.5308e-04,0.0004
-9.5288e-04,0.0008
-9.5268e-04,0.0004
-9.5248e-04,0
-9.5228e-04,-0.0004
-9.5208e-04,0.0004
-9.5188e-04,0
-9.5168e-04,0.0008
-9.5148e-04,-0.0004
-9.5128e-04,0.0008
-9.5108e-04,0
-9.5088e-04,0.0004
-9.5068e-04,0.0008
-9.5048e-04,0
-9.5028e-04,-0.0004
-9.5008e-04,0.0004
-9.4988e-04,-0.0004
-9.4968e-04,-0.0004
-9.4948e-04,0
-9.4928e-04,0
-9.4908e-04,0.0012
-9.4888e-04,-0.0004
-9.4868e-04,0
-9.4848e-04,0
-9.4828e-04,0
-9.4808e-04,0.0008
-9.4788e-04,0.0008
-9.4768e-04,-0.0004
-9.4748e-04,0
-9.4728e-04,0
-9.4708e-04,0
-9.4688e-04,0
-9.4668e-04,0.0008
-9.4648e-04,0.0004
-9.4628e-04,0
-9.4608e-04,0.0004
-9.4588e-04,0.0004
-9.4568e-04,-0.0004
-9.4548e-04,-0.0004
-9.4528e-04,0.0008
-9.4508e-04,0.0008
-9.4488e-04,0.0004
-9.4468e-04,-0.0004
-9.4448e-04,0
-9.4428e-04,0
-9.4408e-04,-0.0004
-9.4388e-04,0
-9.4368e-04,0
-9.4348e-04,0
-9.4328e-04,0
-9.4308e-04,0.0008
-9.4288e-04,0.0008
-9.4268e-04,0
-9.4248e-04,0.0008
-9.4228e-04,0
-9.4208e-04,0.0004
-9.4188e-04,-0.0008
-9.4168e-04,0
-9.4148e-04,0.0004
-9.4128e-04,0.0012
-9.4108e-04,0.0004
-9.4088e-04,-0.0004
-9.4068e-04,0
-9.4048e-04,0.0004
-9.4028e-04,0.0008
-9.4008e-04,0
-9.3988e-04,0.0004
-9.3968e-04,0
-9.3948e-04,0
-9.3928e-04,0.0004
-9.3908e-04,0.0016
-9.3888e-04,0
-9.3868e-04,0
-9.3848e-04,0.0008
-9.3828e-04,0.0004
-9.3808e-04,0.0004
-9.3788e-04,-0.0004
-9.3768e-04,0
-9.3748e-04,0.0004
-9.3728e-04,0
-9.3708e-04,0
-9.3688e-04,0.0004
-9.3668e-04,0.0004
-9.3648e-04,0.0004
-9.3628e-04,0.0004
-9.3608e-04,0.0004
-9.3588e-04,0.0004
-9.3568e-04,0.0008
-9.3548e-04,0
-9.3528e-04,-0.0004
-9.3508e-04,0.0004
-9.3488e-04,0.0008
-9.3468e-04,0
-9.3448e-04,0
-9.3428e-04,-0.0008
-9.3408e-04,0.0008
-9.3388e-04,0.0004
-9.3368e-04,0
-9.3348e-04,0.0008
-9.3328e-04,0
-9.3308e-04,-0.0004
-9.3288e-04,0.0004
-9.3268e-04,0.0004
-9.3248e-04,-0.0004
-9.3228e-04,0.0004
-9.3208e-04,0
-9.3188e-04,-0.0004
-9.3168e-04,0
-9.3148e-04,0
-9.3128e-04,0.0004
-9.3108e-04,0
-9.3088e-04,0.0004
-9.3068e-04,0.0004
-9.3048e-04,0
-9.3028e-04,0
-9.3008e-04,-0.0004
-9.2988e-04,-0.0004
-9.2968e-04,0.0008
-9.2948e-04,-0.0004
-9.2928e-04,0.0008
-9.2908e-04,0
-9.2888e-04,0
-9.2868e-04,0.0016
-9.2848e-04,0.0004
-9.2828e-04,-0.0004
-9.2808e-04,-0.0008
-9.2788e-04,0.0004
