Sum of MegaTrialsPerSecond,Column Labels,,,,,,,,,
Row Labels,1,10,100,1000,10000,100000,500000,1000000,10000000,Grand Total
1,4.52,35.71,106.16,104.67,59.95,56.76,56.18,55.99,55.49,535.43
2,2.42,21.64,128.7,214.27,128.23,112.58,110.61,111.22,111.04,940.71
4,1.5,14.04,122.1,408.66,292.84,230.04,224.44,221.94,216.9,1732.46
6,1.17,11.92,118.2,512.29,490.08,344.31,337.49,273.21,329.52,2418.19
8,0.99,10.49,102.67,383,400.08,357.88,350.38,349.99,363.34,2318.82
16,0.73,7.47,73.64,457.46,876.42,718.77,701.91,699.55,681.41,4217.36
Grand Total,11.33,101.27,651.47,2080.35,2247.6,1820.34,1781.01,1711.9,1757.7,12162.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,1,10,100,1000,10000,100000,500000,1000000,10000000,
1,4.52,35.71,106.16,104.67,59.95,56.76,56.18,55.99,55.49,
2,2.42,21.64,128.7,214.27,128.23,112.58,110.61,111.22,111.04,
4,1.5,14.04,122.1,408.66,292.84,230.04,224.44,221.94,216.9,
6,1.17,11.92,118.2,512.29,490.08,344.31,337.49,273.21,329.52,
8,0.99,10.49,102.67,383,400.08,357.88,350.38,349.99,363.34,
16,0.73,7.47,73.64,457.46,876.42,718.77,701.91,699.55,681.41,
