Sum of MegaTrialsPerSecond,Column Labels,,,,,,,,
Row Labels,1,2,4,6,8,16,Grand Total,,
1,4.42,2.46,1.56,1.14,1.02,0.71,11.31,,
10,34.36,22.68,15.5,11.48,10.14,7.04,101.2,,
100,112.11,110.01,125.31,106.72,96.15,68.03,618.33,,
1000,105.61,228.31,398.25,506.33,403.06,466.64,2108.2,,
10000,59.72,126.32,307.22,505.25,407.93,870.02,2276.46,,
100000,56.83,113.62,226.35,343.26,357.32,707.63,1805.01,,
500000,55.5,112.05,220.56,332.5,354.43,703.11,1778.15,,
1000000,55.52,110.16,221.68,334.87,364.06,695.86,1782.15,,
10000000,55.26,110.37,218.9,326.35,363.84,684.96,1759.68,,
Grand Total,539.33,935.98,1735.33,2467.9,2357.95,4204,12240.49,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,1,2,4,6,8,16,,,
1,4.42,2.46,1.56,1.14,1.02,0.71,,,
10,34.36,22.68,15.5,11.48,10.14,7.04,,,
100,112.11,110.01,125.31,106.72,96.15,68.03,,,
1000,105.61,228.31,398.25,506.33,403.06,466.64,,,
10000,59.72,126.32,307.22,505.25,407.93,870.02,,,
100000,56.83,113.62,226.35,343.26,357.32,707.63,,,
500000,55.5,112.05,220.56,332.5,354.43,703.11,,,
1000000,55.52,110.16,221.68,334.87,364.06,695.86,,,
10000000,55.26,110.37,218.9,326.35,363.84,684.96,,,
