Year,Month,NumMonths,Precipitation,Temperature, Grain Height,Deers,Zombies
2024,0,0,0,-17.777779,7.620001,3,1
2024,1,1,18.692341,7.524721,20.903515,3,2
2024,2,2,29.855001,2.212626,38.435154,3,2
2024,3,3,29.697205,9.593156,43.363003,4,2
2024,4,4,29.821987,13.362923,35.450214,5,2
2024,5,5,24.570877,22.081417,22.751493,6,2
2024,6,6,21.564375,30.57476,7.511494,7,2
2024,7,7,13.685708,30.471615,0,6,2
2024,8,8,4.106534,21.5881,0,5,2
2024,9,9,1.917792,23.520178,0,4,2
2024,10,10,6.90206,7.296147,3.61998,3,3
2024,11,11,7.532763,3.279813,13.784071,1,4
2025,0,12,16.745695,6.104012,36.066441,1,5
2025,1,13,26.370893,0.870355,53.646721,1,5
2025,2,14,31.074858,5.371352,79.306602,2,5
2025,3,15,29.726274,17.354597,74.360313,3,5
2025,4,16,34.079464,18.209911,66.79879,4,5
2025,5,17,25.608213,24.389513,56.63887,5,6
2025,6,18,19.877651,31.537468,43.938869,5,6
2025,7,19,15.911522,24.712694,31.238913,6,6
2025,8,20,5.049041,23.804085,15.998997,7,6
2025,9,21,0,23.733076,0,6,6
2025,10,22,7.487213,11.323891,0,5,7
2025,11,23,6.216679,2.535409,2.611294,3,7
2026,0,24,14.652405,9.650523,5.58101,2,9
2026,1,25,23.298178,-0.619124,13.691501,1,9
2026,2,26,26.360073,3.885852,41.281837,2,9
2026,3,27,29.546469,10.871202,43.98682,3,9
2026,4,28,27.951433,19.107517,36.395283,4,9
2026,5,29,25.71904,18.732986,26.276129,5,10
2026,6,30,22.087313,27.377926,13.576129,5,10
2026,7,31,14.749965,26.905539,0.876131,5,11
2026,8,32,10.761017,28.517126,0,3,12
2026,9,33,0.593882,12.992157,0,1,13
2026,10,34,7.578244,16.325136,0,0,13
2026,11,35,9.867494,11.959373,3.364759,0,13
2027,0,36,10.186048,6.478765,21.984346,1,13
2027,1,37,20.85483,7.29493,42.131325,2,14
2027,2,38,24.456356,2.310486,63.313984,2,14
2027,3,39,29.913826,14.103855,59.670807,3,15
2027,4,40,33.566238,21.533491,52.05294,3,18
2027,5,41,30.826897,21.55777,44.435146,1,19
2027,6,42,19.924435,29.968914,41.895145,1,20
2027,7,43,14.466298,31.724566,39.355145,1,21
2027,8,44,5.36953,22.875498,36.815418,1,21
2027,9,45,0.264838,18.682543,34.291496,2,22
2027,10,46,2.072929,11.987336,31.287048,2,24
2027,11,47,8.829453,10.57066,32.110149,1,26
2028,0,48,13.159441,3.883945,53.488667,0,26
2028,1,49,23.314358,0.66273,72.536705,1,26
2028,2,50,28.9734,13.182941,72.513962,2,27
2028,3,51,28.311535,14.538295,68.542267,2,29
2028,4,52,28.353727,21.987831,63.463676,1,31
2028,5,53,24.143589,25.569746,60.923691,0,31
2028,6,54,23.22718,22.963135,60.924141,1,31
2028,7,55,10.444423,22.249502,58.384888,2,32
2028,8,56,9.366292,21.875212,53.305969,2,34
2028,9,57,7.477454,13.227071,49.747971,1,36
2028,10,58,8.091782,12.130489,50.033485,0,37
2028,11,59,6.461163,5.285759,67.118187,0,37
2029,0,60,10.877364,8.51331,79.973541,1,37
2029,1,61,17.599224,9.534641,89.413834,2,37
2029,2,62,26.004837,11.114264,91.541466,3,37
2029,3,63,29.352886,10.045497,94.687599,4,39
2029,4,64,36.051304,19.522102,84.543777,3,43
2029,5,65,31.620934,24.595476,76.923828,0,43
2029,6,66,22.941986,31.13249,76.923828,1,43
2029,7,67,18.711464,25.400976,74.38385,2,44
2029,8,68,9.795311,27.767563,69.303848,2,46
2029,9,69,4.909836,21.232422,64.225571,1,47
2029,10,70,0,12.044985,63.410835,1,47
2029,11,71,8.685138,3.744032,80.326263,2,48
