   NowYear ,   NowMonth , MonthCount,  NowPrecip ,    NowTemp ,  NowHeight , NowNumDeer
2024,0,0,0,-17.777779,7.620001,3
2024,1,1,7.546802,-0.555231,12.768663,3
2024,2,2,12.034719,7.341586,27.429405,4
2024,3,3,13.246623,16.590687,17.499712,5
2024,4,4,12.858513,21.891768,4.801175,6
2024,5,5,12.586166,25.89481,0,5
2024,6,6,7.525204,30.207676,0,4
2024,7,7,4.285501,22.060959,0,3
2024,8,8,2.908273,25.911802,0,2
2024,9,9,1.326515,19.826445,0,1
2024,10,10,0,16.07254,0,0
2024,11,11,2.694605,6.014296,16.502884,0
2025,0,12,7.140658,0.293079,32.572594,1
2025,1,13,10.539887,10.085174,40.872761,2
2025,2,14,12.489752,2.920202,62.3634,3
2025,3,15,11.619781,11.409007,60.910736,4
2025,4,16,12.401894,20.964102,50.75489,5
2025,5,17,10.025839,22.907059,38.055382,6
2025,6,18,7.778951,21.839218,22.816984,7
2025,7,19,7.09126,29.716581,5.036984,8
2025,8,20,2.885331,26.992836,0,7
2025,9,21,1.9045,21.174931,0,6
2025,10,22,2.670387,15.736069,0,5
2025,11,23,2.757441,11.972347,0,4
2026,0,24,5.487803,3.758755,14.329341,3
2026,1,25,7.391161,-0.393198,20.049252,4
2026,2,26,10.758365,9.927942,21.328978,5
2026,3,27,13.967255,14.833938,9.417473,6
2026,4,28,13.465414,16.234921,0,5
2026,5,29,10.731636,26.630829,0,4
2026,6,30,7.254106,26.057421,0,3
2026,7,31,4.275856,27.158119,0,2
2026,8,32,0.888694,24.266544,0,1
2026,9,33,1.91039,17.353456,0,0
2026,10,34,0.050681,10.894706,2.94218,0
2026,11,35,1.403723,8.671372,11.102004,1
2027,0,36,4.784908,7.529176,25.622993,2
2027,1,37,8.627382,8.563101,37.806896,3
2027,2,38,12.127531,4.375933,59.313583,4
2027,3,39,13.216174,7.331316,70.134438,5
2027,4,40,10.992256,15.446896,58.031986,6
2027,5,41,12.970733,26.909145,42.791985,7
2027,6,42,8.587273,25.489243,25.012005,8
2027,7,43,6.368806,28.787481,4.692005,9
2027,8,44,2.815823,19.812902,0,8
2027,9,45,1.825632,14.016644,0,7
2027,10,46,1.928382,14.78994,0,6
2027,11,47,1.824542,11.726475,0,5
2028,0,48,4.509013,7.1988,4.932779,4
2028,1,49,6.765556,9.748404,5.806745,3
2028,2,50,11.36589,7.443708,20.539671,2
2028,3,51,11.677924,9.510363,28.362135,3
2028,4,52,11.000981,22.489853,20.742926,4
2028,5,53,9.507474,26.070175,10.582932,5
2028,6,54,9.584301,29.316719,0,4
2028,7,55,3.463009,28.192097,0,3
2028,8,56,2.701676,26.823654,0,2
2028,9,57,0.144959,23.275808,0,1
2028,10,58,1.848252,18.176109,0,0
2028,11,59,1.440251,12.871692,1.467233,0
2029,0,60,3.720038,1.21824,16.132174,0
2029,1,61,10.014839,8.44549,34.277222,1
2029,2,62,11.996676,10.467949,40.777107,2
2029,3,63,12.647715,8.593979,51.963203,3
2029,4,64,11.097793,23.475664,44.343445,4
2029,5,65,10.966764,23.592304,34.183655,5
2029,6,66,9.476723,27.469971,21.483654,6
2029,7,67,5.333642,27.972763,6.243655,7
2029,8,68,2.320689,26.549059,0,6
2029,9,69,1.423996,18.851849,0,5
2029,10,70,0.041287,8.776222,0,4
2029,11,71,4.580162,8.352913,3.691282,3
