Sum of megaCityCapitalsPerSecond,NUMT,,,,,
NumCapitals,1,2,4,6,8,Grand Total
2,76.118,28.726,15.557,12.887,10.238,143.526
3,90.892,37.194,17.889,19.663,21.203,186.841
4,99.511,45.031,23.833,18.602,33.804,220.781
5,104.318,44.707,28.272,25.9,28.69,231.887
10,123.72,83.544,54.194,47.495,40.243,349.196
15,127.776,116.777,88.888,71.403,68.742,473.586
20,135.789,161.424,124.329,100.585,81.074,603.201
30,142.105,195.357,199.314,169.295,135.084,841.155
40,169.731,237.817,264.314,203.089,168.212,1043.163
50,175.781,242.904,290.585,255.555,231.968,1196.793
Grand Total,1245.741,1193.481,1107.175,924.474,819.258,5290.129
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,1,2,4,6,8,
2,76.118,28.726,15.557,12.887,10.238,
3,90.892,37.194,17.889,19.663,21.203,
4,99.511,45.031,23.833,18.602,33.804,
5,104.318,44.707,28.272,25.9,28.69,
10,123.72,83.544,54.194,47.495,40.243,
15,127.776,116.777,88.888,71.403,68.742,
20,135.789,161.424,124.329,100.585,81.074,
30,142.105,195.357,199.314,169.295,135.084,
40,169.731,237.817,264.314,203.089,168.212,
50,175.781,242.904,290.585,255.555,231.968,
