Sum of megaCityCapitalsPerSecond,NUMT,,,,,,
NumCapitals,1,2,4,6,8,16,Grand Total
2,74.768,27.009,14.431,17.131,13.927,8.312,155.578
3,86.922,55.32,18.961,15.295,20.57,13.124,210.192
4,97.626,42.824,21.469,21.294,27.658,26.606,237.477
5,106.09,42.721,29.91,22.607,24.457,34.086,259.871
10,123.674,77.447,48.671,43.498,45.259,45.559,384.108
15,129.374,109.678,75.767,73.702,68.66,54.797,511.978
20,136.78,164.886,118.791,108.375,95.355,76.696,700.883
30,123.349,199.026,172.579,140.207,152.109,57.726,844.996
40,168.789,234.27,226.12,181.644,189.856,134.075,1134.754
50,175.612,248.782,326.726,249.664,235.664,167.162,1403.61
Grand Total,1222.984,1201.963,1053.425,873.417,873.515,618.143,5843.447
,,,,,,,
,,,,,,,
Sum of megaCityCapitalsPerSecond,1,2,4,6,8,16,
2,74.768,27.009,14.431,17.131,13.927,8.312,
3,86.922,55.32,18.961,15.295,20.57,13.124,
4,97.626,42.824,21.469,21.294,27.658,26.606,
5,106.09,42.721,29.91,22.607,24.457,34.086,
10,123.674,77.447,48.671,43.498,45.259,45.559,
15,129.374,109.678,75.767,73.702,68.66,54.797,
20,136.78,164.886,118.791,108.375,95.355,76.696,
30,123.349,199.026,172.579,140.207,152.109,57.726,
40,168.789,234.27,226.12,181.644,189.856,134.075,
50,175.612,248.782,326.726,249.664,235.664,167.162,
