Sum of  MegaPointsProcessedPerSecond,Column Labels,,,,,,,
Row Labels,4096,16384,65536,262144,1048576,4194304,16777216,Grand Total
8,108.68,402.71,1301.2,851.84,1553.27,1599.62,3367.25,9184.57
32,102.55,411.84,1567.16,997.16,2084.37,6297.17,12436.33,23896.58
64,108.28,443.89,1657.76,1011.41,2162,7150.43,15510.32,28044.09
96,241.49,979.85,3793.46,15259.4,60221.43,246152.14,949125.32,1275773.09
128,108.87,426.04,1725.4,1016.4,2207.97,6726.27,15606.5,27817.45
256,108.27,433.16,1656.98,44.35,2220.25,7087.84,16223.87,27774.72
512,107.01,444.34,1669.25,1014.2,2042.92,7129.99,15960.73,28368.44
Grand Total,885.15,3541.83,13371.21,20194.76,72492.21,282143.46,1028230.32,1420858.94
,,,,,,,,
,4096,16384,65536,262144,1048576,4194304,16777216,
8,108.68,402.71,1301.2,851.84,1553.27,1599.62,3367.25,
32,102.55,411.84,1567.16,997.16,2084.37,6297.17,12436.33,
64,108.28,443.89,1657.76,1011.41,2162,7150.43,15510.32,
96,241.49,979.85,3793.46,15259.4,60221.43,246152.14,949125.32,
128,108.87,426.04,1725.4,1016.4,2207.97,6726.27,15606.5,
256,108.27,433.16,1656.98,44.35,2220.25,7087.84,16223.87,
512,107.01,444.34,1669.25,1014.2,2042.92,7129.99,15960.73,
