  1 processors,    8388608 elements,    357.55 mega-autocorrelations computed per second
  2 processors,    8388608 elements,    709.27 mega-autocorrelations computed per second
  3 processors,    8388608 elements,   1034.07 mega-autocorrelations computed per second
  4 processors,    8388608 elements,   1362.73 mega-autocorrelations computed per second
  5 processors,    8388608 elements,   1641.66 mega-autocorrelations computed per second
  6 processors,    8388608 elements,   1983.30 mega-autocorrelations computed per second
  7 processors,    8388608 elements,   2243.51 mega-autocorrelations computed per second
  8 processors,    8388608 elements,   2553.58 mega-autocorrelations computed per second
  9 processors,    8388608 elements,   2820.27 mega-autocorrelations computed per second
 10 processors,    8388608 elements,   3058.69 mega-autocorrelations computed per second
 11 processors,    8388608 elements,   3334.42 mega-autocorrelations computed per second
 12 processors,    8388608 elements,   3620.39 mega-autocorrelations computed per second
 13 processors,    8388608 elements,   3890.32 mega-autocorrelations computed per second
 14 processors,    8388608 elements,   4181.99 mega-autocorrelations computed per second
 15 processors,    8388608 elements,   4471.63 mega-autocorrelations computed per second
 16 processors,    8388608 elements,   4715.58 mega-autocorrelations computed per second
